isolate,pbr_res,dataset
GCF_001874725,0,cdc
GCF_001875025,0,cdc
GCF_001875045,0,cdc
GCF_001875055,0,cdc
GCF_001922465,0,cdc
GCF_002056385,0,cdc
GCF_002056475,0,cdc
GCF_002180075,1,cdc
GCF_002180155,0,cdc
GCF_002180175,0,cdc
GCF_002180295,0,cdc
GCF_002192335,0,cdc
GCF_002197225,0,cdc
GCF_002197505,1,cdc
GCF_002202255,0,cdc
GCF_002968475,0,cdc
GCF_002968495,0,cdc
GCF_003073335,0,cdc
GCF_003073675,0,cdc
GCF_003288375,0,cdc
GCF_003324315,1,cdc
GCF_003571705,1,cdc
SRR1166945,0,deleo
SRR1166946,0,deleo
SRR1166947,0,deleo
SRR1166948,0,deleo
SRR1166949,0,deleo
SRR1166950,0,deleo
SRR1166951,0,deleo
SRR1166952,1,deleo
SRR1166953,1,deleo
SRR1166954,0,deleo
SRR1166955,1,deleo
SRR1166956,0,deleo
SRR1166957,1,deleo
SRR1166958,0,deleo
SRR1166959,0,deleo
SRR1166960,0,deleo
SRR1166961,1,deleo
SRR1166962,0,deleo
SRR1166963,1,deleo
SRR1166964,0,deleo
SRR1166965,0,deleo
SRR1166966,1,deleo
SRR1166967,0,deleo
SRR1166968,0,deleo
SRR1166969,1,deleo
SRR1166970,1,deleo
SRR1166971,1,deleo
SRR1166972,1,deleo
SRR1166973,1,deleo
SRR1166974,0,deleo
SRR1166975,1,deleo
SRR1166977,0,deleo
SRR1166978,0,deleo
SRR1166979,0,deleo
SRR1166980,0,deleo
SRR1166981,0,deleo
SRR1167010,1,deleo
SRR1167011,1,deleo
SRR1167012,1,deleo
SRR1167013,0,deleo
SRR1167014,0,deleo
SRR1167015,0,deleo
SRR1167016,0,deleo
SRR1167017,0,deleo
SRR1167018,0,deleo
SRR1167019,1,deleo
SRR1167020,0,deleo
SRR1167021,1,deleo
SRR1167022,0,deleo
SRR1167023,0,deleo
SRR1167024,0,deleo
SRR1167025,0,deleo
SRR1167026,0,deleo
SRR1167027,0,deleo
SRR1167028,0,deleo
GCF_002235045,1,giordano
GCF_002235055,0,giordano
GCF_002235095,0,giordano
GCF_002235105,0,giordano
GCF_002235115,0,giordano
GCF_002235155,0,giordano
GCF_002235235,0,giordano
GCF_002235245,0,giordano
GCF_002235265,0,giordano
GCF_002235295,0,giordano
GCF_002235315,0,giordano
GCF_002235325,0,giordano
GCF_002235355,0,giordano
GCF_002235375,0,giordano
GCF_002235395,0,giordano
GCF_002235415,0,giordano
GCF_002235435,0,giordano
GCF_002235455,0,giordano
GCF_002235475,1,giordano
GCF_002235495,0,giordano
GCF_002235515,0,giordano
GCF_002235535,0,giordano
GCF_002235555,0,giordano
GCF_002235575,0,giordano
GCF_002235595,0,giordano
GCF_002235615,0,giordano
GCF_002235635,0,giordano
GCF_002235655,0,giordano
GCF_002235675,0,giordano
GCF_002235695,0,giordano
GCF_002235705,0,giordano
GCF_002235735,0,giordano
GCF_002235755,1,giordano
GCF_002235795,0,giordano
GCF_002235815,0,giordano
GCF_002235825,0,giordano
GCF_002235875,0,giordano
GCF_002235895,1,giordano
GCF_002235915,0,giordano
GCF_002235935,0,giordano
GCF_002235945,0,giordano
GCF_002235975,0,giordano
GCF_002235985,0,giordano
GCF_002236015,0,giordano
GCF_002236055,0,giordano
GCF_002236085,1,giordano
GCF_002236145,0,giordano
GCF_002236155,0,giordano
GCF_002236185,0,giordano
GCF_002236195,1,giordano
GCF_002236205,0,giordano
GCF_002236245,0,giordano
GCF_002236265,0,giordano
GCF_002236275,1,giordano
GCF_002236305,0,giordano
GCF_002236315,0,giordano
GCF_002236345,0,giordano
GCF_002236365,0,giordano
GCF_002236385,0,giordano
GCF_002236405,0,giordano
GCF_002236425,0,giordano
GCF_002236445,0,giordano
GCF_001701355,1,pitt
GCF_001701365,1,pitt
GCF_001701395,0,pitt
GCF_001701415,1,pitt
GCF_001701445,1,pitt
GCF_001701475,1,pitt
GCF_001701495,1,pitt
GCF_001701505,1,pitt
GCF_001701525,1,pitt
GCF_001701555,1,pitt
GCF_001701815,1,pitt
GCF_001701835,1,pitt
GCF_001701845,0,pitt
GCF_001701895,1,pitt
GCF_001701915,1,pitt
GCF_001701925,1,pitt
GCF_001701975,1,pitt
GCF_001702005,1,pitt
GCF_001702035,1,pitt
SRR1508883,0,stoesser
SRR1508882,0,stoesser
SRR1508855,0,stoesser
SRR8286437,0,van_dorp
SRR8286438,0,van_dorp
SRR8286440,0,van_dorp
SRR8286441,0,van_dorp
SRR8286442,0,van_dorp
SRR8286443,0,van_dorp
SRR8286444,0,van_dorp
SRR8286445,0,van_dorp
SRR8286446,0,van_dorp
SRR8286447,0,van_dorp
SRR8286448,0,van_dorp
SRR8286449,0,van_dorp
SRR8286450,0,van_dorp
SRR8286451,0,van_dorp
SRR8286453,0,van_dorp
SRR8286454,0,van_dorp
SRR8286455,0,van_dorp
SRR8286456,0,van_dorp
SRR8286457,0,van_dorp
SRR8286458,0,van_dorp
SRR8286459,0,van_dorp
SRR8286460,0,van_dorp
SRR8286461,0,van_dorp
SRR8286462,0,van_dorp
SRR8286463,0,van_dorp
SRR8286464,1,van_dorp
SRR8286465,0,van_dorp
SRR8286466,0,van_dorp
SRR8286475,0,van_dorp
SRR8286476,0,van_dorp
SRR8286477,0,van_dorp
SRR8286478,0,van_dorp
SRR8286479,0,van_dorp
SRR8286480,0,van_dorp
SRR8286481,0,van_dorp
SRR8286482,0,van_dorp
SRR8286483,0,van_dorp
SRR8286484,0,van_dorp
SRR8286488,0,van_dorp
SRR8286489,0,van_dorp
SRR8286491,0,van_dorp
SRR8286492,0,van_dorp
SRR8286494,0,van_dorp
SRR8286495,0,van_dorp
SRR8286496,0,van_dorp
SRR8286497,0,van_dorp
SRR8286498,0,van_dorp
SRR8286499,0,van_dorp
SRR8286500,0,van_dorp
SRR8286501,0,van_dorp
SRR8286502,0,van_dorp
SRR8286503,0,van_dorp
SRR8286504,0,van_dorp
SRR8286505,0,van_dorp
